Designator,Mid X,Mid Y,Rotation,Layer
FPC1,212.96,-92.35,270.0,top
J1,365.95,-62.5,270.0,bottom
J2,342.2,-62.7,270.0,bottom
J3,468.440748,-126.904795,180.0,top
J4,468.440748,-104.244795,180.0,top
J5,205.4,-62.5,270.0,bottom
J6,145.1,-229.8825,0.0,top
J9,454.716707,-74.839293,90.0,bottom
L5,435.535707,-83.789293,270.0,bottom
L6,436.076707,-67.129293,90.0,bottom
OC1,244.155,-68.89,0.0,top
R1,288.448,-84.635,180.0,bottom
R10,297.015,-80.42,90.0,bottom
R100,156.915,-63.16,0.0,top
R101,156.915,-65.15,0.0,top
R102,156.915,-67.14,0.0,top
R103,156.915,-69.13,0.0,top
R109,172.34,-106.55,0.0,top
R11,294.915,-83.92,90.0,bottom
R115,396.300132,-93.955,180.0,bottom
R116,368.68,-99.647182,270.0,bottom
R117,300.8,-68.125,90.0,bottom
R133,123.29,-133.45,0.0,top
R134,121.95,-87.95,180.0,top
R135,121.95,-89.1,0.0,top
R16,366.43,-98.897182,180.0,bottom
R17,366.43,-100.247182,0.0,bottom
R18,89.89,-78.61,0.0,top
R19,312.256332,-96.365427,0.0,bottom
R2,289.788,-89.59,180.0,bottom
R20,315.306332,-93.515427,270.0,bottom
R22,356.2,-69.35,90.0,top
R23,331.1,-70.1,180.0,top
R24,317.556332,-89.965427,270.0,bottom
R26,280.71,-54.3125,0.0,bottom
R27,242.4,-62.4,0.0,bottom
R28,278.4,-61.84,90.0,bottom
R29,301.04,-49.9,0.0,bottom
R3,401.152598,-108.353795,0.0,bottom
R31,296.8,-70.9,180.0,bottom
R32,299.225,-68.065,90.0,bottom
R35,250.22,-70.825,90.0,top
R36,298.57,-71.4,90.0,bottom
R37,316.77,-71.45,90.0,bottom
R38,318.39,-70.95,0.0,bottom
R39,316.425,-68.025,90.0,bottom
R4,398.152598,-106.553795,0.0,bottom
R42,408.646707,-76.519293,90.0,bottom
R43,408.646707,-74.579293,90.0,bottom
R46,417.096707,-82.209293,90.0,bottom
R49,411.046707,-71.509293,90.0,bottom
R5,355.1875,-96.972182,180.0,bottom
R52,215.523,-68.847,0.0,bottom
R54,314.475,-68.075,270.0,bottom
R55,400.66,-74.5425,180.0,bottom
R56,400.21,-72.5925,270.0,bottom
R57,401.91,-73.0925,180.0,bottom
R58,181.325,-61.9125,180.0,bottom
R59,179.225,-62.1125,180.0,bottom
R6,356.4875,-100.222182,180.0,bottom
R60,177.525,-62.4125,270.0,bottom
R61,173.175,-62.4125,270.0,bottom
R62,171.515,-61.9625,0.0,bottom
R63,169.075,-61.8625,0.0,bottom
R68,448.337331,-84.589917,225.0,bottom
R69,449.178574,-66.047526,315.0,bottom
R7,397.028,-95.84,90.0,bottom
R8,398.328,-95.84,270.0,bottom
R83,127.075,-66.25,0.0,top
R87,127.075,-58.15,0.0,top
R9,299.865,-76.97,180.0,bottom
R96,156.915,-55.2,0.0,top
R97,156.915,-57.19,0.0,top
R98,156.915,-59.18,0.0,top
R99,156.915,-61.17,0.0,top
SW1,171.45,-137.01,90.0,top
SW10,108.66,-143.175,0.0,top
